pack,title,line_of_business,policy_number_mentioned,mentioned_policy_number,broker_reference,expected_matched_policy_number,match_confidence,insured_name,claimant,date_of_loss,loss_location,cause_of_loss,estimated_loss,broker_domain,reasoning,exercises
ironbark-excavator-fire,Ironbark Constructors — excavator fire in transit on I-10,Inland marine — contractors equipment,Yes,IM-2298-66401,SRR/IM/2025/2298,IM-2298-66401,Exact,"Ironbark Constructors, Inc.","Ironbark Constructors, Inc.",14 November 2025,"Interstate 10 westbound, milepost 168, near Casa Grande, AZ",Fire — hydraulic line failure onto the exhaust while in transit,"USD 715,950",sonoranridgerisk.example,"Policy number stated and confirmed at item level: the damaged machine is scheduled Item 001 with a matching serial number and limit, both yard addresses are on the policy, and the broker reference and sender domain agree.","**Identity down to the serial number.** The match is corroborated by an asset identifier that appears on the policy schedule, which is stronger than an address. | **A loss location that is on no schedule.** The loss happened on a highway. `risk_location` cannot help, and the match must carry on the other axes — which is how a floater should behave, because the whole point is that the property moves. | **Another policy expressly ruled out.** The trailer and highway damage are named as belonging to a motor policy that is not in the book."
aurora-jobsite-theft,Aurora Gateway Logistics Park — jobsite theft of tools and installation copper,Inland marine — equipment and installation,No,,FRC/IM/2025/7741,IM-7741-15530,Strong,"Beacon Mechanical Services, Inc.","Beacon Mechanical Services, Inc.",13 September 2025,"19400 East 32nd Parkway, Aurora, CO 80011",Theft — forced entry to a job trailer and a shared container,"USD 224,300",frcig.example,"No policy number, but the broker reference `FRC/IM/2025/7741` is the one on this policy, two of the stolen items are scheduled equipment on it, and the loss spans both sections of a combined equipment and installation floater. The insured's liability policy cannot answer first-party theft of the insured's own property.","**The broker reference distinguishing two policies of one insured.** Insured name and both domains are identical across `GL-8804-27153` and `IM-7741-15530`; the reference and the line of business are the only separators. | **Scheduled items as corroboration.** Two stolen tools appear on the equipment schedule. | **Excess-of-builder's-risk.** The notice raises the general contractor's policy, which affects order of response, not identification."
harborline-delaware-freeze,Harborline Delaware terminal — frozen sprinkler line,Commercial property,No,,TR/PROP/2025/4471,CP-4471-88210,Strong,"Harborline Cold Storage & Logistics, LLC","Harborline Cold Storage & Logistics, LLC",1 February 2026,"419 Delaware Terminal Road, New Castle, DE 19720",Freeze — frozen sprinkler branch line,"USD 1,240,000",talbotrennick.example,"No policy number. The loss address is scheduled Location 003 on the Harborline policy — the insured's secondary premises, not its headquarters — and the broker reference, the insured name, the loss payee for that premises and the sender domain all agree.","**Matching to a secondary scheduled location.** The insured's mailing address is in Baltimore and the loss is in Delaware. A matcher that compares the loss address only to `primary_location` misses it; it has to search the whole `policy_locations` schedule. | **Naming the location that matched.** The candidate card should show Location 003 and *its* sum insured, not the Baltimore headline. | **A second loss on a policy already claimed on.** Pack 1 is the same policy, a different premises and a different peril."
windrow-grove-building-k-fire,Windrow Grove Apartments — dryer fire in Building K,Commercial property,No,,KRP/HAB/2025/7735,CP-7735-19042,Strong,"Sundale Property Group, LLC","Windrow Grove Apartments, LP",21 November 2025,"6120 East 91st Street, Tulsa, OK 74137 — Building K",Fire — lint ignition at a clothes dryer,"USD 2,610,000",kettleridgerisk.example,"No policy number. The complex name and address are scheduled Location 001, the claimant is the additional named insured, the managing agent named in the fire report is the scheduled additional insured, the reported pre-incident structure value of USD 3,150,000 is the per-building limit on the schedule, and the broker reference agrees.","**A specialist document that carries no policy reference at all.** A fire department report never states a policy number; everything identifying comes from the covering email and the loss notice. | **Building letter against building number.** The report calls it Building K and cross-references Building 06 on the site plan, which is how the schedule names it. | **Two losses, one policy, one year.** This and pack 2 are both on `CP-7735-19042`, different perils and different buildings — the duplicate-candidate check should not confuse them."
fairmount-mezzanine-collapse,Fairmount Textile Mills — storage mezzanine collapse,Commercial property,Yes,CP-2210-55870,RK/MFG/2024/2210,CP-2210-55870,Exact,"Fairmount Textile Mills Holdings, Inc.","Fairmount Technical Fabrics, Inc.",14 May 2025,"1180 Woodruff Industrial Road, Greenville, SC 29607 — Building 1D",Collapse — bolted connection failure on a storage mezzanine,"USD 8,700,000",ridgewaykessler.example,"Policy number stated and corroborated by the insured, a different subsidiary as claimant, Building 1D on the location schedule, the broker reference and the wholesale broker's sender domain.","**A second, different subsidiary.** Pack 3 named Piedmont Dye & Finish; this names Fairmount Technical Fabrics. Both are additional named insureds on the same policy. | **Two live coverage questions raised in the notice itself.** Neither is a matching signal; both belong in warnings. | **Two claims on one policy in one term.** Together with pack 3 this exercises the duplicate-candidate path on genuinely distinct losses."
kestrel-ridge-vehicle-impact,Kestrel Ridge Retail Center — vehicle into the anchor storefront,Commercial property,Yes,CP-9038-64115,HV/RET/2025/9083,CP-9083-64115,Possible,"Kestrel Ridge Holdings, LP","Kestrel Ridge Holdings, LP",6 November 2025,"4840 North Eagle Ridge Boulevard, Boise, ID 83713 — Building 02",Impact by vehicle — pickup through the anchor storefront,"USD 408,500",hvagency.example,"The notice states `CP-9038-64115`, which **does not exist** — it is a digit transposition of `CP-9083-64115`, and the broker flags the doubt in the email. Exact lookup returns nothing. The OCR-folded and edit-distance rungs of the `policy_number` comparator should reach it, and if they do not, the broker reference, the address matching scheduled Location 002, the insured, the managing agent and the sender domain all resolve it.","**A policy number that is wrong by one transposition.** This is what the `policy_number` comparator's edit-distance rung exists for. A matcher that only does exact lookup returns NO_MATCH on a policy that is plainly in the book. | **The notice admits the doubt.** A good answer uses that rather than trusting the stated string. | **Matching to Building 02 rather than the centre.** The address given is the anchor's own street number, which is scheduled Location 002, not the primary location."
rivergate-copper-theft,Rivergate Commons Phase II — copper theft from the works,Construction — builder's risk,No,,AV/BR/2025/3358,BR-3358-20471,Possible,"Rivergate Development Partners, LLC","Vanterra Construction Group, LLC",17 January 2026,"2650 Rivergate Parkway, Charlotte, NC 28273",Theft — copper stripped from the partially completed works,"USD 394,400",ashcombevail.example,"No policy number, and the reporter's own company is a named insured on the builder's risk *and* the named insured on a liability policy placed through the same broker — with this very project scheduled as designated project P-1 on the liability policy. The discriminator is loss type: every item is first-party damage to or theft of insured project property, and there is no third-party element at all.","**One project on two policies.** Rivergate Commons Phase II appears as the project on `BR-3358-20471` and as designated project P-1 on `GL-5529-41836`, both through broker Ashcombe Vail. `project_name` and `risk_location` fire for both candidates. | **The broker reference as the tiebreak.** `AV/BR/…` versus `AV/GL/…` is the cleanest signal separating them, which is exactly why the reference carries 2.5. | **Property that belongs to neither insured.** The subcontractor's tool kits are named and excluded from the claim in the notice."
northfield-site-vandalism,Northfield Senior Living — overnight vandalism and theft on site,Construction — builder's risk,No,,KRP/CAR/2025/6612,BR-6612-77309,Strong,"Sundale Property Group, LLC","Halcyon Builders, LLC",3 January 2026,"1725 Northfield Commons Drive, Madison, WI 53704",Malicious damage and theft,"USD 380,000",kettleridgerisk.example,"No policy number. The project name and contract number, the site address, both owner entities, the general contractor and the broker reference all match. The building configuration described in the police report — three under construction plus an existing single-storey clinic being converted — matches the policy's project description, and only this policy carries an existing structure section.","**A specialist document that identifies the insured only loosely.** The police report says 'Sundale Property Group of Tulsa' and never states an entity suffix or a policy. | **Existing structure damage as a corroborating signal.** The renovation element is unique to this policy in the book. | **A warranty gap disclosed by the reporter.** The patrol interval is raised in the email; it is a warning, not a rank."
cypress-landing-haboob,Cypress Landing Data Hall B — haboob and wet microburst,Construction — builder's risk,No,,SRR/BR/2025/1147,BR-1147-30926,Strong,"Meridian Grid Holdings, LLC","Ironbark Constructors, Inc.",7 July 2026,"14900 South Cypress Landing Way, Mesa, AZ 85212",Windstorm — haboob followed by a wet microburst,"USD 5,900,000",sonoranridgerisk.example,"No policy number. The project name and contract number, the site address, both named insureds, the broker reference and the sender domain all match, and the loss is first-party damage to the works and to owner-supplied equipment scheduled on this policy.","**A second loss on the policy that pack 7 mis-referenced.** Here the same project is notified with no policy number at all, and must still reach `BR-1147-30926`. | **Equipment damage that is not equipment-floater damage.** The switchgear is owner-supplied permanent works, scheduled on the builder's risk, not on the contractor's floater. | **Deductible selection as a warning.** Which deductible applies turns on whether the equipment had entered commissioning; it changes the net, not the rank."
tidewater-rooftop-equipment,Hampton Roads Logistics Center — crane load into a tenant's rooftop plant,Liability — commercial general liability,No,,CB/ROOF/2024/3376,GL-3376-90284,Strong,"Tidewater Roofing & Exteriors, LLC",Chandler Vale Cold Chain Solutions,26 August 2025,"1900 Bainbridge Logistics Way, Chesapeake, VA 23320",Impact — crane load swung into a tenant's rooftop condensing units,"USD 182,000",coastlinebrantley.example,"No policy number. The insured's name and Virginia contractor licence, the broker reference `CB/ROOF/2024/3376`, the sender domain and the building owner — a scheduled certificate holder on this policy — all agree, and the loss is third-party property damage arising from the insured's operations.","**Damaged property belonging to a party who is not an insured and not a certificate holder.** The tenant is neither; the building owner is. Identification must not depend on the claimant being on the policy. | **A second loss on a policy already claimed on.** Pack 10 is the same policy, a different project and a different peril. | **A recovery question raised in the notice.** The crane hire indemnity affects subrogation, not which policy answers."
larkspur-fleet-collision,Larkspur Landscaping — fleet collision with third-party property damage,Motor — commercial fleet,No,,GRS/AUTO/2026/0114,NO_MATCH,No Match,"Larkspur Landscaping & Grounds Management, LLC",Ballenger Creek Auto & Tyre,14 March 2026,"Ballenger Creek Pike at Elmer Derr Road, Frederick, MD 21703","Collision — avoiding action, trailer jackknife and departure from the roadway","USD 320,000",greenbelrisk.example,"Larkspur Landscaping & Grounds Management, LLC appears nowhere in the book as a named insured, joint name, principal, contractor or loss payee. Greenbel Risk Services is not a broker on any policy and `greenbelrisk.example` is not a broker domain in the book. The loss location is not on any schedule, and the lines sought — commercial motor, workers compensation and standalone environmental — are not written at all.","**A plausible near-miss on line of business.** A Bobcat track loader is exactly the class of plant scheduled on two inland marine policies in the book, and the loss is in Maryland where a commercial property policy sits. Neither is a match. | **No identifying value hits the pool.** With no policy number, no known broker reference, no known domain and no scheduled location, the candidate query should fall back to country plus line of business plus in-force — and the gate should still reject every one of them. | **Rejecting is the correct answer**, and should be reported with a reason rather than as an empty result."
meadowcrest-frozen-sprinkler,Meadowcrest at Zionsville — frozen sprinkler line in an assisted living community,Commercial property,Yes,CP-6650-11223,PWA/PROP/2025/0022,NO_MATCH,No Match,"Meadowcrest Assisted Living Communities, Inc.","Meadowcrest at Zionsville Operating Co., LLC",26 January 2026,"1180 North Ford Road, Zionsville, IN 46077",Freeze — frozen sprinkler branch line in the east wing attic,"USD 2,900,000",pembertonwexler.example,"The stated number `CP-6650-11223` does not exist in the book and is not a near variant of anything in it. The insured, both additional named insureds, the broker, the broker reference, the sender domain, the loss location and the state all fail to match. The notice itself discloses that the number came from a possibly stale certificate.","**A policy number that looks exactly right and is not.** It shares the `CP-` prefix and the four-plus-five digit shape of the four property policies in the book. Containment and edit-distance rungs must not manufacture a match out of it. | **Distractors on three axes at once.** Senior living occupancy resembles the Northfield project; the frozen sprinkler cause is identical to pack 13; resident relocation resembles the Windrow Grove tenant relocation head. None of them is this policy. | **No Indiana risk exists anywhere in the book**, which is the cleanest discriminator."
bayview-terrace-riser,Bayview Terrace Condominiums — domestic hot water riser failure,Commercial property — condominium association,No,,HCM/BT/2026/0502,NO_MATCH,No Match,"Bayview Terrace Condominium Association, Inc.","Bayview Terrace Condominium Association, Inc.",2 May 2026,"1200 Bayview Terrace Drive, Bremerton, WA 98312",Escape of water — pitting corrosion failure of a copper hot water riser,"USD 697,400",harborcrestmgmt.example,"Bayview Terrace Condominium Association is not a named insured, joint name, managing agent, mortgagee or loss payee anywhere in the book. Harborcrest Community Management is not a broker in the book and `harborcrestmgmt.example` is not a broker domain. Bremerton, Washington is on no schedule and no policy in the book covers a Washington risk or a condominium association form.","**The closest habitational near-miss in the set.** Multifamily water loss with resident displacement, reported by a property manager with no policy number — structurally the same shape as packs 4 and 16, which both match. Entity and state are the discriminators. | **A reporter who is neither broker nor insured.** The sender is the managing agent, so `broker_domain` should not fire at all rather than firing wrongly. | **A cause that invites a coverage argument** — pitting corrosion against wear and tear — which is irrelevant to identification and must stay out of the score."
cobalt-ridge-trench-collapse,Overland Park sewer rehabilitation — trench collapse and serious injury,Construction — casualty,No,,OMI/CAS/2026/0033,NO_MATCH,No Match,"Cobalt Ridge Utility Contractors, LLC",City of Overland Park,19 May 2026,"2200 block of West Carbondale Avenue, Overland Park, KS 66214",Excavation collapse — wall failure beyond the end of the trench box,"USD 1,150,000",ozarkmeridian.example,"Cobalt Ridge Utility Contractors, LLC appears nowhere in the book. Ozark Meridian Insurance Partners is not a broker on any policy and `ozarkmeridian.example` is not a broker domain. Contract `OP-2026-SS-14` is not a contract number or project reference in the book, the site is on no schedule, and the notice states there is no builder's risk or owner-controlled programme on the contract.","**The strongest construction near-miss in the set.** A contractor incident with third-party property damage, employee injuries, equipment damage and a contract number — structurally identical to packs 5, 8 and 19, all of which match. | **A contract number that will hit the SQL pool and must still be rejected.** `OP-2026-SS-14` is long enough to be searched against all four reference columns; nothing in the book contains it. | **Two policies in the book carry earth-movement exclusions triggered by the insured's own trenching** — precisely this fact pattern, for a different insured in a different state. Peril similarity is not identity."
